Player,Short Name,Player ID,Birthdate,Team,Team ID,Match,Match ID,Date,Competition,Competition ID,Season,Season ID,Competition Edition ID,Position,Position Group,Minutes,Minutes TIP,Minutes OTIP,Minutes 1,Minutes 1 TIP,Minutes 1 OTIP,Minutes 2,Minutes 2 TIP,Minutes 2 OTIP,Physical Check Passed,Distance,M/min,Running Distance,HSR Distance,HSR Count,Sprint Distance,Sprint Count,HI Distance,HI Count,PSV-99,Medium Acceleration Count,High Acceleration Count,Medium Deceleration Count,High Deceleration Count,Explosive Acceleration to HSR Count,Time to HSR,Time to HSR Post-COD,Explosive Acceleration to Sprint Count,Time to Sprint,Time to Sprint Post-COD,Change of Direction Count,Time to 505 - Around 90,Time to 505 - Around 180,Distance TIP,M/min TIP,Running Distance TIP,HSR Distance TIP,HSR Count TIP,Sprint Distance TIP,Sprint Count TIP,HI Distance TIP,HI Count TIP,Medium Acceleration Count TIP,High Acceleration Count TIP,Medium Deceleration Count TIP,High Deceleration Count TIP,Explosive Acceleration to HSR Count TIP,Explosive Acceleration to Sprint Count TIP,Change of Direction Count TIP,Distance OTIP,M/min OTIP,Running Distance OTIP,HSR Distance OTIP,HSR Count OTIP,Sprint Distance OTIP,Sprint Count OTIP,HI Distance OTIP,HI Count OTIP,Medium Acceleration Count OTIP,High Acceleration Count OTIP,Medium Deceleration Count OTIP,High Deceleration Count OTIP,Explosive Acceleration to HSR Count OTIP,Explosive Acceleration to Sprint Count OTIP,Change of Direction Count OTIP,Distance 1,M/min 1,Running Distance 1,HSR Distance 1,HSR Count 1,Sprint Distance 1,Sprint Count 1,HI Distance 1,HI Count 1,Medium Acceleration Count 1,High Acceleration Count 1,Medium Deceleration Count 1,High Deceleration Count 1,Explosive Acceleration to HSR Count 1,Explosive Acceleration to Sprint Count 1,Change of Direction Count 1,Distance 1 TIP,M/min 1 TIP,Running Distance 1 TIP,HSR Distance 1 TIP,HSR Count 1 TIP,Sprint Distance 1 TIP,Sprint Count 1 TIP,HI Distance 1 TIP,HI Count 1 TIP,Medium Acceleration Count 1 TIP,High Acceleration Count 1 TIP,Medium Deceleration Count 1 TIP,High Deceleration Count 1 TIP,Explosive Acceleration to HSR Count 1 TIP,Explosive Acceleration to Sprint Count 1 TIP,Change of Direction Count 1 TIP,Distance 1 OTIP,M/min 1 OTIP,Running Distance 1 OTIP,HSR Distance 1 OTIP,HSR Count 1 OTIP,Sprint Distance 1 OTIP,Sprint Count 1 OTIP,HI Distance 1 OTIP,HI Count 1 OTIP,Medium Acceleration Count 1 OTIP,High Acceleration Count 1 OTIP,Medium Deceleration Count 1 OTIP,High Deceleration Count 1 OTIP,Explosive Acceleration to HSR Count 1 OTIP,Explosive Acceleration to Sprint Count 1 OTIP,Change of Direction Count 1 OTIP,Distance 2,M/min 2,Running Distance 2,HSR Distance 2,HSR Count 2,Sprint Distance 2,Sprint Count 2,HI Distance 2,HI Count 2,Medium Acceleration Count 2,High Acceleration Count 2,Medium Deceleration Count 2,High Deceleration Count 2,Explosive Acceleration to HSR Count 2,Explosive Acceleration to Sprint Count 2,Change of Direction Count 2,Distance 2 TIP,M/min 2 TIP,Running Distance 2 TIP,HSR Distance 2 TIP,HSR Count 2 TIP,Sprint Distance 2 TIP,Sprint Count 2 TIP,HI Distance 2 TIP,HI Count 2 TIP,Medium Acceleration Count 2 TIP,High Acceleration Count 2 TIP,Medium Deceleration Count 2 TIP,High Deceleration Count 2 TIP,Explosive Acceleration to HSR Count 2 TIP,Explosive Acceleration to Sprint Count 2 TIP,Change of Direction Count 2 TIP,Distance 2 OTIP,M/min 2 OTIP,Running Distance 2 OTIP,HSR Distance 2 OTIP,HSR Count 2 OTIP,Sprint Distance 2 OTIP,Sprint Count 2 OTIP,HI Distance 2 OTIP,HI Count 2 OTIP,Medium Acceleration Count 2 OTIP,High Acceleration Count 2 OTIP,Medium Deceleration Count 2 OTIP,High Deceleration Count 2 OTIP,Explosive Acceleration to HSR Count 2 OTIP,Explosive Acceleration to Sprint Count 2 OTIP,Change of Direction Count 2 OTIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyohei Sugiura,K. Sugiura,798196,1989-01-11,Ishikawa FC Zweigen Kanazawa,3382,Zweigen Kanazaw - Kamatamare Sanu,2056537,2026-03-01,J2/J3 100 Year Vision League,601,2026,130,1426,Attacking Midfield,Midfield,16.1,4.67,2.38,0.0,0.0,0.0,16.1,4.67,2.38,TRUE,1944.0,120.75,271.0,119.0,12.0,30.0,2.0,149.0,14.0,27.1,17.0,2.0,10.0,3.0,2.0,0.85,,0.0,,,10.0,2.19,2.85,831.0,177.94,165.0,76.0,9.0,27.0,1.0,103.0,10.0,5.0,1.0,3.0,2.0,1.0,0.0,7.0,425.0,178.57,90.0,39.0,2.0,3.0,0.0,42.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1944.0,120.75,271.0,119.0,12.0,30.0,2.0,149.0,14.0,17.0,2.0,10.0,3.0,2.0,0.0,10.0,831.0,177.94,165.0,76.0,9.0,27.0,1.0,103.0,10.0,5.0,1.0,3.0,2.0,1.0,0.0,7.0,425.0,178.57,90.0,39.0,2.0,3.0,0.0,42.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masaya Kojima,M. Kojima,798197,1997-11-09,Ishikawa FC Zweigen Kanazawa,3382,Zweigen Kanazaw - Kamatamare Sanu,2056537,2026-03-01,J2/J3 100 Year Vision League,601,2026,130,1426,Right Back,Full Back,7.27,1.37,1.97,0.0,0.0,0.0,7.27,1.37,1.97,TRUE,797.0,109.63,146.0,76.0,5.0,9.0,0.0,85.0,5.0,24.2,14.0,2.0,7.0,0.0,2.0,1.05,1.05,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797.0,109.63,146.0,76.0,5.0,9.0,0.0,85.0,5.0,14.0,2.0,7.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shintaro Shimada,S. Shimada,798198,1995-12-05,Ishikawa FC Zweigen Kanazawa,3382,Zweigen Kanazaw - Kamatamare Sanu,2056537,2026-03-01,J2/J3 100 Year Vision League,601,2026,130,1426,Right Winger,Wide Attacker,69.1,20.58,14.95,47.22,12.65,9.62,21.88,7.93,5.33,TRUE,8249.0,119.38,1300.0,571.0,54.0,154.0,12.0,725.0,66.0,28.6,104.0,4.0,80.0,23.0,2.0,0.92,,0.0,,,55.0,2.0,2.99,3196.0,155.3,645.0,273.0,26.0,35.0,4.0,308.0,30.0,42.0,2.0,28.0,5.0,0.0,0.0,25.0,2368.0,158.39,513.0,257.0,26.0,103.0,7.0,360.0,33.0,32.0,1.0,23.0,8.0,0.0,0.0,27.0,5538.0,117.28,912.0,328.0,32.0,70.0,5.0,398.0,37.0,70.0,3.0,53.0,15.0,2.0,0.0,45.0,2051.0,162.13,450.0,143.0,17.0,16.0,2.0,159.0,19.0,28.0,2.0,19.0,4.0,0.0,0.0,23.0,1562.0,162.37,345.0,160.0,14.0,39.0,3.0,199.0,17.0,21.0,1.0,17.0,5.0,0.0,0.0,19.0,2711.0,123.9,388.0,243.0,22.0,84.0,7.0,327.0,29.0,34.0,1.0,27.0,8.0,0.0,0.0,10.0,1145.0,144.39,195.0,130.0,9.0,19.0,2.0,149.0,11.0,14.0,0.0,9.0,1.0,0.0,0.0,2.0,806.0,151.22,168.0,97.0,12.0,64.0,4.0,161.0,16.0,11.0,0.0,6.0,3.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuto Nagamine,Y. Nagamine,798200,2000-03-28,Ishikawa FC Zweigen Kanazawa,3382,Zweigen Kanazaw - Kamatamare Sanu,2056537,2026-03-01,J2/J3 100 Year Vision League,601,2026,130,1426,Left Back,Full Back,69.1,20.58,14.95,47.22,12.65,9.62,21.88,7.93,5.33,TRUE,8292.0,120.0,1275.0,504.0,57.0,298.0,15.0,802.0,72.0,30.1,107.0,6.0,87.0,18.0,4.0,0.87,0.87,2.0,1.63,,32.0,2.24,2.91,3111.0,151.17,476.0,214.0,24.0,119.0,6.0,333.0,30.0,40.0,1.0,26.0,7.0,1.0,0.0,15.0,2259.0,151.1,489.0,204.0,22.0,144.0,5.0,348.0,27.0,32.0,1.0,24.0,5.0,0.0,0.0,15.0,5460.0,115.63,814.0,315.0,40.0,203.0,12.0,518.0,52.0,75.0,5.0,63.0,13.0,3.0,1.0,21.0,1912.0,151.15,310.0,153.0,17.0,76.0,5.0,229.0,22.0,24.0,1.0,19.0,3.0,1.0,0.0,12.0,1486.0,154.47,309.0,111.0,14.0,105.0,4.0,216.0,18.0,21.0,1.0,18.0,4.0,0.0,0.0,8.0,2832.0,129.43,461.0,189.0,17.0,95.0,3.0,284.0,20.0,32.0,1.0,24.0,5.0,1.0,0.0,11.0,1199.0,151.2,166.0,61.0,7.0,43.0,1.0,104.0,8.0,16.0,0.0,7.0,4.0,0.0,0.0,3.0,773.0,145.03,180.0,93.0,8.0,39.0,1.0,132.0,9.0,11.0,0.0,6.0,1.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuga  Sakurai,F. Sakurai,798201,2000-09-11,Ishikawa FC Zweigen Kanazawa,3382,Zweigen Kanazaw - Kamatamare Sanu,2056537,2026-03-01,J2/J3 100 Year Vision League,601,2026,130,1426,Right Back,Full Back,89.48,27.2,16.82,47.22,12.65,9.62,42.27,14.55,7.2,TRUE,10254.0,114.6,1773.0,693.0,69.0,275.0,17.0,968.0,86.0,30.0,141.0,20.0,104.0,24.0,15.0,0.74,0.85,2.0,1.25,,50.0,2.33,2.87,3993.0,146.8,875.0,328.0,34.0,99.0,4.0,427.0,38.0,48.0,8.0,30.0,5.0,6.0,1.0,27.0,2580.0,153.39,537.0,305.0,28.0,137.0,9.0,442.0,37.0,41.0,4.0,27.0,9.0,3.0,0.0,18.0,5372.0,113.77,875.0,347.0,35.0,149.0,7.0,496.0,42.0,70.0,5.0,48.0,13.0,4.0,1.0,26.0,1871.0,147.91,435.0,135.0,16.0,15.0,1.0,150.0,17.0,27.0,2.0,14.0,5.0,2.0,0.0,12.0,1515.0,157.48,286.0,188.0,16.0,105.0,5.0,293.0,21.0,21.0,1.0,15.0,3.0,1.0,0.0,10.0,4882.0,115.5,898.0,346.0,34.0,126.0,10.0,472.0,44.0,71.0,15.0,56.0,11.0,11.0,1.0,24.0,2122.0,145.84,440.0,193.0,18.0,84.0,3.0,277.0,21.0,21.0,6.0,16.0,0.0,4.0,1.0,15.0,1065.0,147.92,251.0,117.0,12.0,32.0,4.0,149.0,16.0,20.0,3.0,12.0,6.0,2.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keita Shirawachi,K. Shirawachi,813857,2001-12-07,Ishikawa FC Zweigen Kanazawa,3382,Zweigen Kanazaw - Kamatamare Sanu,2056537,2026-03-01,J2/J3 100 Year Vision League,601,2026,130,1426,Right Winger,Wide Attacker,27.65,8.0,3.85,0.0,0.0,0.0,27.65,8.0,3.85,TRUE,3320.0,120.07,427.0,242.0,20.0,66.0,5.0,308.0,25.0,27.8,33.0,1.0,23.0,8.0,0.0,,,0.0,,,23.0,1.97,,1326.0,165.75,280.0,163.0,12.0,30.0,1.0,193.0,13.0,12.0,0.0,7.0,3.0,0.0,0.0,16.0,656.0,170.39,90.0,50.0,8.0,35.0,3.0,85.0,11.0,8.0,0.0,3.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3320.0,120.07,427.0,242.0,20.0,66.0,5.0,308.0,25.0,33.0,1.0,23.0,8.0,0.0,0.0,23.0,1326.0,165.75,280.0,163.0,12.0,30.0,1.0,193.0,13.0,12.0,0.0,7.0,3.0,0.0,0.0,16.0,656.0,170.39,90.0,50.0,8.0,35.0,3.0,85.0,11.0,8.0,0.0,3.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yusei Shinomiya,Y. Shinomiya,1000690,2003-01-11,Ishikawa FC Zweigen Kanazawa,3382,Zweigen Kanazaw - Kamatamare Sanu,2056537,2026-03-01,J2/J3 100 Year Vision League,601,2026,130,1426,Left Back,Full Back,27.65,8.0,3.85,0.0,0.0,0.0,27.65,8.0,3.85,TRUE,3135.0,113.38,487.0,196.0,22.0,107.0,4.0,303.0,26.0,31.3,42.0,5.0,41.0,6.0,4.0,0.79,0.89,1.0,1.62,1.62,16.0,2.3,3.3,1221.0,152.62,245.0,89.0,11.0,51.0,3.0,140.0,14.0,16.0,1.0,14.0,1.0,1.0,1.0,6.0,580.0,150.65,85.0,76.0,10.0,23.0,1.0,99.0,11.0,10.0,1.0,6.0,2.0,1.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3135.0,113.38,487.0,196.0,22.0,107.0,4.0,303.0,26.0,42.0,5.0,41.0,6.0,4.0,1.0,16.0,1221.0,152.62,245.0,89.0,11.0,51.0,3.0,140.0,14.0,16.0,1.0,14.0,1.0,1.0,1.0,6.0,580.0,150.65,85.0,76.0,10.0,23.0,1.0,99.0,11.0,10.0,1.0,6.0,2.0,1.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayate Nagakura,H. Nagakura,1002246,1996-04-29,Ishikawa FC Zweigen Kanazawa,3382,Zweigen Kanazaw - Kamatamare Sanu,2056537,2026-03-01,J2/J3 100 Year Vision League,601,2026,130,1426,Left Winger,Wide Attacker,96.75,28.58,18.8,47.22,12.65,9.62,49.53,15.93,9.18,TRUE,10986.0,113.55,1526.0,479.0,44.0,99.0,5.0,578.0,49.0,28.0,115.0,10.0,95.0,15.0,7.0,0.76,0.76,3.0,2.18,,35.0,2.31,2.93,4315.0,150.98,765.0,180.0,23.0,37.0,2.0,217.0,25.0,42.0,3.0,34.0,3.0,3.0,3.0,17.0,2811.0,149.52,516.0,226.0,18.0,51.0,1.0,277.0,19.0,33.0,2.0,21.0,4.0,2.0,0.0,17.0,5352.0,113.34,768.0,215.0,24.0,71.0,3.0,286.0,27.0,55.0,8.0,48.0,10.0,6.0,2.0,16.0,1968.0,155.57,410.0,96.0,13.0,18.0,1.0,114.0,14.0,21.0,2.0,16.0,2.0,2.0,2.0,7.0,1505.0,156.44,266.0,90.0,9.0,46.0,1.0,136.0,10.0,15.0,2.0,11.0,2.0,2.0,0.0,8.0,5634.0,113.75,758.0,264.0,20.0,28.0,2.0,292.0,22.0,60.0,2.0,47.0,5.0,0.0,0.0,19.0,2347.0,147.33,355.0,84.0,10.0,19.0,1.0,103.0,11.0,21.0,1.0,18.0,1.0,0.0,0.0,10.0,1306.0,142.27,250.0,136.0,9.0,5.0,0.0,141.0,9.0,18.0,0.0,10.0,2.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yusuke Goto,Y. Goto,254491,1993-04-23,Kamatamare Sanuki,4082,Zweigen Kanazaw - Kamatamare Sanu,2056537,2026-03-01,J2/J3 100 Year Vision League,601,2026,130,1426,Center Forward,Center Forward,33.17,5.37,9.7,0.0,0.0,0.0,33.17,5.37,9.7,TRUE,3672.0,110.7,616.0,291.0,29.0,48.0,5.0,339.0,34.0,26.8,54.0,9.0,33.0,7.0,6.0,0.8,0.8,4.0,1.52,1.52,23.0,2.4,,864.0,160.89,197.0,81.0,10.0,14.0,1.0,95.0,11.0,12.0,1.0,5.0,0.0,0.0,0.0,8.0,1546.0,159.38,363.0,192.0,17.0,26.0,3.0,218.0,20.0,19.0,6.0,14.0,4.0,4.0,3.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3672.0,110.7,616.0,291.0,29.0,48.0,5.0,339.0,34.0,54.0,9.0,33.0,7.0,6.0,4.0,23.0,864.0,160.89,197.0,81.0,10.0,14.0,1.0,95.0,11.0,12.0,1.0,5.0,0.0,0.0,0.0,8.0,1546.0,159.38,363.0,192.0,17.0,26.0,3.0,218.0,20.0,19.0,6.0,14.0,4.0,4.0,3.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuhi  Murakami,Y. Murakami,623924,2000-12-19,Kamatamare Sanuki,4082,Zweigen Kanazaw - Kamatamare Sanu,2056537,2026-03-01,J2/J3 100 Year Vision League,601,2026,130,1426,Center Forward,Center Forward,96.75,18.8,28.58,47.22,9.62,12.65,49.53,9.18,15.93,TRUE,10341.0,106.88,1368.0,497.0,40.0,33.0,1.0,530.0,41.0,24.8,112.0,7.0,89.0,12.0,4.0,0.94,1.07,1.0,1.82,,41.0,2.52,3.31,2480.0,131.91,432.0,112.0,7.0,6.0,0.0,118.0,7.0,34.0,2.0,17.0,2.0,1.0,1.0,16.0,4170.0,145.91,788.0,347.0,28.0,11.0,0.0,358.0,28.0,42.0,2.0,38.0,5.0,1.0,0.0,23.0,5129.0,108.62,674.0,306.0,23.0,24.0,1.0,330.0,24.0,46.0,4.0,37.0,5.0,3.0,1.0,26.0,1295.0,134.62,235.0,58.0,3.0,2.0,0.0,60.0,3.0,16.0,1.0,9.0,2.0,1.0,0.0,12.0,1949.0,154.07,369.0,221.0,16.0,7.0,0.0,228.0,16.0,15.0,1.0,14.0,2.0,0.0,0.0,14.0,5212.0,105.23,694.0,191.0,17.0,9.0,0.0,200.0,17.0,66.0,3.0,52.0,7.0,1.0,0.0,15.0,1185.0,129.08,197.0,54.0,4.0,4.0,0.0,58.0,4.0,18.0,1.0,8.0,0.0,0.0,0.0,4.0,2221.0,139.42,419.0,126.0,12.0,4.0,0.0,130.0,12.0,27.0,1.0,24.0,3.0,1.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuya Takashima,S. Takashima,798058,2000-04-24,Kamatamare Sanuki,4082,Zweigen Kanazaw - Kamatamare Sanu,2056537,2026-03-01,J2/J3 100 Year Vision League,601,2026,130,1426,Right Center Back,Central Defender,96.75,18.8,28.58,47.22,9.62,12.65,49.53,9.18,15.93,TRUE,10546.0,109.0,1490.0,499.0,50.0,137.0,10.0,636.0,60.0,27.7,149.0,6.0,111.0,14.0,5.0,0.75,0.82,1.0,1.72,,22.0,2.04,3.05,2472.0,131.49,385.0,83.0,8.0,13.0,0.0,96.0,8.0,26.0,0.0,18.0,1.0,0.0,0.0,5.0,4414.0,154.44,836.0,333.0,33.0,88.0,7.0,421.0,40.0,67.0,4.0,48.0,4.0,3.0,1.0,14.0,5213.0,110.4,776.0,245.0,23.0,68.0,5.0,313.0,28.0,70.0,3.0,46.0,8.0,2.0,1.0,9.0,1273.0,132.33,242.0,41.0,3.0,7.0,0.0,48.0,3.0,12.0,0.0,10.0,1.0,0.0,0.0,3.0,1986.0,157.0,356.0,143.0,14.0,39.0,3.0,182.0,17.0,30.0,2.0,20.0,2.0,1.0,1.0,5.0,5333.0,107.67,714.0,254.0,27.0,69.0,5.0,323.0,32.0,79.0,3.0,65.0,6.0,3.0,0.0,13.0,1199.0,130.61,143.0,42.0,5.0,6.0,0.0,48.0,5.0,14.0,0.0,8.0,0.0,0.0,0.0,2.0,2428.0,152.42,480.0,190.0,19.0,49.0,4.0,239.0,23.0,37.0,2.0,28.0,2.0,2.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masashi Kokubun,M. Kokubun,929060,1995-05-14,Kamatamare Sanuki,4082,Zweigen Kanazaw - Kamatamare Sanu,2056537,2026-03-01,J2/J3 100 Year Vision League,601,2026,130,1426,Right Winger,Wide Attacker,94.8,18.28,28.03,47.22,9.62,12.65,47.58,8.67,15.38,TRUE,10305.0,108.7,1422.0,654.0,61.0,167.0,10.0,821.0,71.0,31.2,153.0,10.0,106.0,27.0,8.0,0.86,0.86,1.0,1.62,,41.0,2.3,2.99,2566.0,140.37,448.0,244.0,25.0,118.0,4.0,362.0,29.0,40.0,3.0,23.0,3.0,2.0,1.0,11.0,3964.0,141.42,780.0,358.0,31.0,37.0,4.0,395.0,35.0,59.0,3.0,39.0,12.0,3.0,0.0,29.0,5124.0,108.51,681.0,316.0,28.0,94.0,4.0,410.0,32.0,68.0,3.0,47.0,10.0,2.0,0.0,20.0,1409.0,146.47,262.0,159.0,14.0,82.0,2.0,241.0,16.0,18.0,1.0,10.0,2.0,0.0,0.0,8.0,1789.0,141.42,346.0,134.0,11.0,6.0,1.0,140.0,12.0,27.0,1.0,18.0,4.0,1.0,0.0,12.0,5181.0,108.89,741.0,338.0,33.0,73.0,6.0,411.0,39.0,85.0,7.0,59.0,17.0,6.0,1.0,21.0,1157.0,133.45,186.0,85.0,11.0,36.0,2.0,121.0,13.0,22.0,2.0,13.0,1.0,2.0,1.0,3.0,2175.0,141.42,434.0,224.0,20.0,31.0,3.0,255.0,23.0,32.0,2.0,21.0,8.0,2.0,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yutaro Yanagi,Y. Yanagi,929163,1995-09-18,Kamatamare Sanuki,4082,Zweigen Kanazaw - Kamatamare Sanu,2056537,2026-03-01,J2/J3 100 Year Vision League,601,2026,130,1426,Left Midfield,Midfield,22.03,3.18,6.37,0.0,0.0,0.0,22.03,3.18,6.37,TRUE,2454.0,111.39,298.0,185.0,17.0,42.0,3.0,227.0,20.0,30.9,27.0,0.0,19.0,5.0,0.0,,,0.0,,,15.0,2.03,,494.0,155.35,110.0,45.0,6.0,13.0,1.0,58.0,7.0,5.0,0.0,2.0,0.0,0.0,0.0,3.0,1024.0,160.75,180.0,123.0,11.0,27.0,2.0,150.0,13.0,11.0,0.0,6.0,2.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2454.0,111.39,298.0,185.0,17.0,42.0,3.0,227.0,20.0,27.0,0.0,19.0,5.0,0.0,0.0,15.0,494.0,155.35,110.0,45.0,6.0,13.0,1.0,58.0,7.0,5.0,0.0,2.0,0.0,0.0,0.0,3.0,1024.0,160.75,180.0,123.0,11.0,27.0,2.0,150.0,13.0,11.0,0.0,6.0,2.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akito Ueno,A. Ueno,929200,2000-09-14,Kamatamare Sanuki,4082,Zweigen Kanazaw - Kamatamare Sanu,2056537,2026-03-01,J2/J3 100 Year Vision League,601,2026,130,1426,Left Winger,Wide Attacker,96.75,18.8,28.58,47.22,9.62,12.65,49.53,9.18,15.93,TRUE,10382.0,107.31,1395.0,733.0,76.0,267.0,15.0,1000.0,91.0,29.2,124.0,9.0,108.0,15.0,8.0,0.63,0.63,3.0,1.41,1.41,35.0,2.34,,2687.0,142.93,458.0,286.0,30.0,124.0,8.0,410.0,38.0,36.0,3.0,22.0,5.0,3.0,1.0,13.0,3904.0,136.6,631.0,315.0,33.0,73.0,5.0,388.0,38.0,50.0,2.0,37.0,4.0,2.0,1.0,19.0,5028.0,106.48,693.0,375.0,36.0,120.0,6.0,495.0,42.0,52.0,6.0,42.0,9.0,5.0,3.0,17.0,1382.0,143.66,260.0,152.0,14.0,61.0,4.0,213.0,18.0,16.0,2.0,12.0,3.0,2.0,1.0,5.0,1714.0,135.49,283.0,131.0,13.0,14.0,1.0,145.0,14.0,23.0,2.0,15.0,3.0,2.0,1.0,11.0,5354.0,108.1,702.0,358.0,40.0,147.0,9.0,505.0,49.0,72.0,3.0,66.0,6.0,2.0,0.0,18.0,1305.0,142.16,198.0,134.0,16.0,63.0,4.0,197.0,20.0,20.0,1.0,10.0,2.0,1.0,0.0,8.0,2190.0,137.48,348.0,184.0,20.0,59.0,4.0,243.0,24.0,27.0,0.0,22.0,1.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiga Maekawa,T. Maekawa,929332,1996-06-13,Kamatamare Sanuki,4082,Zweigen Kanazaw - Kamatamare Sanu,2056537,2026-03-01,J2/J3 100 Year Vision League,601,2026,130,1426,Center Forward,Center Forward,63.58,13.42,18.87,47.22,9.62,12.65,16.37,3.8,6.22,TRUE,6800.0,106.95,874.0,335.0,33.0,128.0,6.0,463.0,39.0,29.3,72.0,7.0,50.0,13.0,4.0,0.77,0.77,3.0,1.4,1.4,21.0,3.16,,1691.0,126.01,290.0,111.0,9.0,68.0,2.0,179.0,11.0,27.0,2.0,14.0,4.0,2.0,1.0,8.0,2695.0,142.82,529.0,203.0,17.0,37.0,1.0,240.0,18.0,29.0,2.0,22.0,5.0,1.0,1.0,12.0,4844.0,102.58,631.0,259.0,29.0,98.0,5.0,357.0,34.0,55.0,5.0,37.0,13.0,4.0,3.0,16.0,1234.0,128.27,223.0,83.0,9.0,64.0,2.0,147.0,11.0,19.0,1.0,10.0,4.0,1.0,1.0,6.0,1857.0,146.8,374.0,156.0,14.0,18.0,1.0,174.0,15.0,22.0,1.0,16.0,5.0,0.0,0.0,10.0,1956.0,119.49,243.0,76.0,4.0,30.0,1.0,106.0,5.0,17.0,2.0,13.0,0.0,0.0,0.0,5.0,457.0,120.26,67.0,28.0,0.0,4.0,0.0,32.0,0.0,8.0,1.0,4.0,0.0,0.0,0.0,2.0,838.0,134.73,155.0,47.0,3.0,19.0,0.0,66.0,3.0,7.0,1.0,6.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sang-Ho Woo,Sang-Ho Woo,929413,1992-12-07,Kamatamare Sanuki,4082,Zweigen Kanazaw - Kamatamare Sanu,2056537,2026-03-01,J2/J3 100 Year Vision League,601,2026,130,1426,Defensive Midfield,Midfield,96.75,18.8,28.58,47.22,9.62,12.65,49.53,9.18,15.93,TRUE,12032.0,124.36,2410.0,362.0,37.0,42.0,3.0,404.0,40.0,26.9,123.0,3.0,96.0,9.0,0.0,,,0.0,,,43.0,2.32,3.07,3091.0,164.41,674.0,118.0,11.0,29.0,1.0,147.0,12.0,35.0,2.0,24.0,1.0,0.0,0.0,11.0,4982.0,174.32,1508.0,224.0,24.0,12.0,1.0,236.0,25.0,48.0,1.0,34.0,2.0,0.0,0.0,29.0,5857.0,124.04,1170.0,153.0,15.0,0.0,0.0,153.0,15.0,55.0,2.0,44.0,5.0,0.0,0.0,18.0,1524.0,158.42,337.0,43.0,4.0,0.0,0.0,43.0,4.0,19.0,1.0,15.0,1.0,0.0,0.0,4.0,2268.0,179.29,729.0,91.0,10.0,0.0,0.0,91.0,10.0,18.0,1.0,13.0,1.0,0.0,0.0,13.0,6175.0,124.67,1240.0,209.0,22.0,42.0,3.0,251.0,25.0,68.0,1.0,52.0,4.0,0.0,0.0,25.0,1567.0,170.7,337.0,75.0,7.0,29.0,1.0,104.0,8.0,16.0,1.0,9.0,0.0,0.0,0.0,7.0,2714.0,170.37,779.0,133.0,14.0,12.0,1.0,145.0,15.0,30.0,0.0,21.0,1.0,0.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
